miRNA 1B 2B 3B 4B 5B 6B 7B 8B 9B 10B 11B 12B 13B 14B 15B 16B 17B 18B 19B 20B 21B 22B 23B 24B 25B 26B 27B 28B 29B 30B 31B 32B 33B 34B 35B 36B 37B 38B 39B 40B 41B 42B 43B 44B 45B 46B 47B 48B 49B 50B 51B 52B 53B 54B 55B 56B 57B 58B 59B 60B 61B 62B 63B 64B 65B 66B 67B 68B 69B 70B
hsa-miR-4322 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-6780a-3p 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 4.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-4329 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-548at-3p 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 2.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 3.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-4704-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-3664-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-551a 26.00 19.00 114.00 73.00 479.00 75.00 29.00 34.00 41.00 41.00 165.00 3.00 70.00 17.00 14.00 22.00 31.00 29.00 24.00 3.00 25.00 16.00 9.00 37.00 35.00 80.00 26.00 11.00 17.00 44.00 7.00 35.00 35.00 3.00 30.00 7.00 229.00 18.00 109.00 137.00 118.00 32.00 36.00 42.00 38.00 39.00 38.00 2.00 73.00 29.00 24.00 26.00 0.00 17.00 32.00 74.00 52.00 81.00 25.00 14.00 37.00 16.00 41.00 70.00 107.00 35.00 0.00 33.00 57.00 0.00
hsa-miR-4648 0.00 0.00 1.00 0.00 2.00 0.00 0.00 1.00 0.00 1.00 4.00 0.00 0.00 0.00 1.00 1.00 0.00 3.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 4.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 2.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 23.00 0.00
hsa-let-7f-2-3p 93.00 22.00 52.00 67.00 16.00 30.00 17.00 44.00 21.00 41.00 49.00 4.00 71.00 14.00 13.00 32.00 44.00 14.00 3.00 4.00 5.00 4.00 2.00 12.00 17.00 14.00 2.00 3.00 2.00 27.00 7.00 17.00 29.00 10.00 33.00 7.00 65.00 17.00 25.00 118.00 45.00 25.00 3.00 73.00 50.00 10.00 70.00 0.00 27.00 21.00 36.00 35.00 10.00 6.00 19.00 12.00 12.00 10.00 6.00 4.00 14.00 11.00 26.00 4.00 87.00 38.00 37.00 34.00 61.00 0.00
hsa-miR-4749-5p 1.00 0.00 0.00 1.00 3.00 0.00 0.00 0.00 1.00 2.00 4.00 0.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00 3.00 0.00 0.00 0.00 0.00 2.00 1.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 1.00 0.00 4.00 2.00 0.00 1.00 0.00 1.00 0.00 1.00 3.00 3.00 2.00 0.00 0.00 0.00 0.00 0.00 1.00 1.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 4.00 12.00 0.00 0.00 0.00 0.00
hsa-miR-7844-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 3.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-3167 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-1295b-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-891a-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-215-5p 56.00 21.00 59.00 27.00 44.00 34.00 19.00 28.00 20.00 25.00 25.00 253.00 68.00 23.00 24.00 18.00 33.00 36.00 42.00 16.00 14.00 4.00 26.00 19.00 34.00 53.00 15.00 17.00 21.00 22.00 36.00 19.00 53.00 22.00 41.00 16.00 121.00 29.00 20.00 67.00 31.00 99.00 20.00 42.00 94.00 26.00 34.00 13.00 9.00 27.00 13.00 19.00 60.00 23.00 15.00 12.00 31.00 48.00 16.00 26.00 34.00 34.00 25.00 36.00 29.00 51.00 25.00 35.00 0.00 4.00
hsa-miR-1292-5p 166.00 27.00 63.00 115.00 153.00 95.00 96.00 157.00 106.00 73.00 74.00 63.00 107.00 74.00 37.00 118.00 36.00 26.00 9.00 34.00 5.00 23.00 16.00 60.00 45.00 82.00 35.00 4.00 27.00 43.00 107.00 33.00 24.00 95.00 99.00 96.00 88.00 71.00 95.00 106.00 109.00 2.00 50.00 102.00 19.00 79.00 24.00 58.00 22.00 55.00 56.00 37.00 29.00 101.00 45.00 40.00 44.00 44.00 11.00 15.00 52.00 40.00 95.00 16.00 62.00 59.00 104.00 32.00 58.00 26.00
hsa-miR-4670-3p 1.00 0.00 2.00 1.00 0.00 0.00 1.00 4.00 1.00 0.00 0.00 0.00 4.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 1.00 0.00 0.00 3.00 5.00 0.00 1.00 0.00 0.00 0.00 2.00 0.00 1.00 0.00 1.00 0.00 0.00 4.00 2.00 0.00 3.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00
hsa-miR-605-5p 7.00 0.00 1.00 5.00 2.00 3.00 0.00 2.00 4.00 6.00 4.00 0.00 1.00 0.00 0.00 10.00 1.00 1.00 0.00 1.00 0.00 3.00 0.00 4.00 3.00 7.00 3.00 0.00 0.00 1.00 0.00 1.00 3.00 0.00 4.00 0.00 12.00 0.00 9.00 6.00 11.00 1.00 3.00 3.00 0.00 14.00 6.00 5.00 0.00 4.00 0.00 6.00 0.00 0.00 4.00 1.00 1.00 6.00 0.00 0.00 2.00 2.00 0.00 0.00 24.00 7.00 0.00 0.00 32.00 0.00
hsa-miR-12119 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-6806-3p 11.00 2.00 2.00 2.00 0.00 8.00 8.00 10.00 4.00 0.00 0.00 1.00 7.00 2.00 0.00 3.00 2.00 0.00 0.00 0.00 2.00 0.00 0.00 1.00 0.00 1.00 0.00 0.00 0.00 0.00 2.00 1.00 0.00 3.00 4.00 4.00 3.00 6.00 0.00 2.00 0.00 0.00 2.00 1.00 5.00 1.00 1.00 1.00 0.00 0.00 1.00 1.00 0.00 3.00 1.00 0.00 0.00 0.00 0.00 2.00 7.00 2.00 7.00 0.00 6.00 5.00 0.00 0.00 0.00 0.00
hsa-miR-4720-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-6758-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 2.00 0.00 0.00 4.00 2.00 0.00 0.00 2.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 1.00 0.00 0.00 2.00 2.00 0.00 1.00 0.00 0.00 0.00 2.00 1.00 0.00 0.00 1.00 1.00 2.00 2.00 4.00 0.00 4.00 0.00 1.00 0.00 1.00 1.00 0.00 0.00 1.00 1.00 1.00 1.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 26.00 0.00
hsa-miR-5684 3.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-150-5p 9679.00 8834.00 795.00 48297.00 11953.00 17776.00 40977.00 35047.00 43782.00 15256.00 11502.00 10954.00 26312.00 7557.00 4273.00 55788.00 6253.00 6640.00 2725.00 8002.00 1621.00 7903.00 9184.00 5751.00 4714.00 3741.00 18705.00 3114.00 9209.00 20096.00 771.00 18734.00 12260.00 2634.00 5412.00 4431.00 2513.00 3029.00 6369.00 2484.00 7239.00 2651.00 6066.00 12143.00 21525.00 23145.00 17669.00 4052.00 717.00 4655.00 8201.00 4561.00 5258.00 1761.00 5982.00 6427.00 6560.00 9389.00 2334.00 8325.00 10732.00 15896.00 3896.00 3292.00 3034.00 9752.00 4991.00 14128.00 20817.00 17556.00
hsa-miR-361-3p 3583.00 1252.00 957.00 9115.00 4759.00 2996.00 6242.00 5183.00 6824.00 8877.00 4830.00 1754.00 3117.00 1920.00 2911.00 8451.00 1822.00 1705.00 481.00 2246.00 380.00 1798.00 551.00 2515.00 2430.00 3174.00 1560.00 238.00 1045.00 3281.00 431.00 2900.00 1985.00 1396.00 2569.00 1587.00 2478.00 879.00 5949.00 2667.00 4931.00 1191.00 2966.00 7291.00 3464.00 6477.00 1487.00 1609.00 1225.00 4441.00 4868.00 3319.00 823.00 1360.00 4136.00 2394.00 2980.00 3081.00 636.00 643.00 2190.00 3581.00 1129.00 751.00 2960.00 1540.00 1866.00 2653.00 5155.00 1436.00
hsa-miR-6133 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-4446-3p 118.00 17.00 187.00 209.00 117.00 62.00 59.00 91.00 134.00 349.00 322.00 56.00 33.00 92.00 120.00 240.00 94.00 36.00 7.00 161.00 6.00 35.00 23.00 189.00 128.00 197.00 47.00 8.00 54.00 109.00 9.00 29.00 34.00 18.00 56.00 54.00 289.00 7.00 336.00 299.00 365.00 44.00 149.00 493.00 70.00 385.00 83.00 132.00 29.00 140.00 188.00 125.00 43.00 31.00 107.00 51.00 84.00 52.00 39.00 83.00 80.00 163.00 14.00 55.00 614.00 390.00 358.00 683.00 812.00 368.00
hsa-miR-4281 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-628-5p 674.00 112.00 334.00 597.00 161.00 173.00 149.00 127.00 243.00 629.00 384.00 101.00 277.00 84.00 148.00 419.00 256.00 129.00 56.00 73.00 58.00 57.00 46.00 240.00 195.00 250.00 60.00 59.00 91.00 196.00 52.00 98.00 316.00 62.00 169.00 94.00 549.00 58.00 498.00 551.00 663.00 172.00 192.00 842.00 500.00 474.00 475.00 92.00 113.00 448.00 317.00 238.00 115.00 92.00 260.00 122.00 95.00 98.00 81.00 49.00 205.00 193.00 63.00 34.00 485.00 210.00 108.00 480.00 257.00 4.00
hsa-miR-100-3p 0.00 0.00 1.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-3133 2.00 1.00 0.00 1.00 0.00 0.00 1.00 1.00 2.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 1.00 0.00 0.00 3.00 1.00 0.00 1.00 0.00 0.00 2.00 2.00 1.00 2.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 7.00 0.00 0.00 0.00 0.00
hsa-miR-4298 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-6777-3p 2.00 1.00 0.00 0.00 2.00 1.00 2.00 2.00 1.00 0.00 0.00 0.00 0.00 2.00 0.00 2.00 0.00 2.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 10.00 0.00 4.00 0.00 3.00 0.00 3.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 3.00 0.00 0.00 0.00 0.00 1.00 7.00 0.00 1.00 0.00 0.00 0.00 3.00 0.00 1.00 0.00 0.00 0.00 5.00 0.00 0.00 0.00 0.00
hsa-miR-6759-5p 1.00 1.00 0.00 3.00 0.00 1.00 0.00 1.00 0.00 2.00 1.00 0.00 0.00 1.00 2.00 3.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 5.00 1.00 0.00 2.00 1.00 0.00 0.00 0.00 1.00 1.00 0.00 0.00 1.00 1.00 1.00 2.00 2.00 0.00 1.00 1.00 7.00 0.00 3.00 0.00 3.00 2.00 4.00 0.00 0.00 1.00 2.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-323a-5p 13.00 1.00 3.00 14.00 2.00 4.00 4.00 13.00 14.00 0.00 14.00 13.00 1.00 3.00 1.00 7.00 7.00 3.00 3.00 8.00 0.00 0.00 0.00 3.00 0.00 11.00 6.00 4.00 3.00 3.00 0.00 0.00 2.00 0.00 6.00 4.00 9.00 0.00 15.00 1.00 7.00 0.00 1.00 12.00 2.00 10.00 1.00 6.00 4.00 14.00 20.00 15.00 0.00 1.00 6.00 3.00 7.00 3.00 0.00 0.00 7.00 10.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-345-5p 1983.00 325.00 1795.00 3579.00 3384.00 1259.00 1045.00 2726.00 2024.00 1494.00 2541.00 370.00 1436.00 600.00 587.00 2093.00 1008.00 274.00 142.00 325.00 138.00 210.00 105.00 885.00 703.00 1129.00 285.00 49.00 182.00 1105.00 628.00 1168.00 702.00 653.00 1501.00 798.00 2415.00 1379.00 1907.00 2834.00 3485.00 306.00 622.00 1790.00 811.00 2118.00 1595.00 509.00 443.00 1257.00 1343.00 1006.00 195.00 854.00 914.00 1059.00 694.00 1297.00 255.00 222.00 789.00 597.00 654.00 528.00 1563.00 1304.00 461.00 478.00 513.00 56.00
hsa-miR-877-5p 213.00 24.00 209.00 301.00 136.00 78.00 90.00 113.00 133.00 202.00 148.00 35.00 103.00 56.00 64.00 122.00 106.00 45.00 4.00 46.00 5.00 44.00 13.00 93.00 75.00 143.00 34.00 10.00 32.00 90.00 49.00 41.00 70.00 31.00 85.00 38.00 283.00 65.00 158.00 321.00 221.00 54.00 81.00 247.00 116.00 236.00 93.00 79.00 35.00 111.00 106.00 110.00 15.00 80.00 105.00 64.00 37.00 64.00 29.00 32.00 65.00 95.00 29.00 42.00 172.00 149.00 80.00 110.00 80.00 0.00
hsa-miR-5008-5p 6.00 0.00 1.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 3.00 3.00 0.00 0.00 2.00 5.00 1.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 1.00 0.00 0.00 0.00 2.00 0.00 2.00 0.00 0.00 0.00 0.00 1.00 1.00 2.00 2.00 0.00 0.00 3.00 0.00 3.00 2.00 0.00 3.00 1.00 0.00 0.00 0.00 0.00 1.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-27b-5p 50.00 4.00 29.00 63.00 26.00 23.00 28.00 25.00 31.00 104.00 65.00 11.00 14.00 11.00 25.00 36.00 20.00 6.00 1.00 10.00 2.00 3.00 0.00 19.00 22.00 32.00 8.00 4.00 8.00 12.00 3.00 4.00 38.00 2.00 25.00 11.00 105.00 2.00 52.00 95.00 151.00 32.00 26.00 88.00 39.00 78.00 34.00 23.00 11.00 35.00 39.00 24.00 6.00 8.00 26.00 19.00 18.00 29.00 22.00 12.00 10.00 38.00 1.00 2.00 22.00 13.00 0.00 0.00 23.00 0.00
hsa-miR-301b-3p 46.00 11.00 36.00 71.00 16.00 17.00 20.00 11.00 23.00 32.00 33.00 5.00 54.00 15.00 19.00 23.00 17.00 30.00 9.00 3.00 5.00 8.00 2.00 16.00 11.00 25.00 9.00 5.00 16.00 29.00 17.00 22.00 35.00 2.00 36.00 9.00 73.00 13.00 30.00 67.00 79.00 42.00 22.00 67.00 66.00 35.00 45.00 15.00 24.00 48.00 21.00 33.00 13.00 12.00 20.00 31.00 11.00 15.00 20.00 10.00 12.00 25.00 12.00 1.00 13.00 49.00 0.00 0.00 26.00 0.00
hsa-miR-5000-3p 1.00 3.00 2.00 1.00 0.00 0.00 0.00 0.00 0.00 3.00 0.00 0.00 4.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 2.00 0.00 0.00 1.00 1.00 0.00 3.00 0.00 0.00 0.00 0.00 0.00 4.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 3.00 0.00 0.00 0.00 0.00 1.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-4776-5p 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-1227-3p 3.00 0.00 0.00 5.00 10.00 0.00 2.00 8.00 7.00 6.00 4.00 0.00 0.00 2.00 2.00 3.00 1.00 1.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 1.00 2.00 1.00 1.00 3.00 7.00 2.00 0.00 1.00 0.00 2.00 2.00 1.00 0.00 0.00 1.00 1.00 4.00 0.00 1.00 0.00 0.00 0.00 2.00 0.00 1.00 0.00 0.00 3.00 1.00 0.00 5.00 0.00 0.00 0.00 0.00
hsa-miR-659-3p 1.00 1.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 3.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 3.00 0.00 0.00 1.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-92a-2-5p 2.00 0.00 0.00 0.00 1.00 0.00 1.00 0.00 0.00 1.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 3.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 8.00 0.00 0.00 0.00 0.00
hsa-miR-6813-5p 17.00 5.00 28.00 24.00 67.00 18.00 11.00 23.00 19.00 52.00 45.00 18.00 13.00 8.00 9.00 28.00 14.00 13.00 3.00 16.00 0.00 4.00 7.00 29.00 19.00 25.00 1.00 0.00 3.00 13.00 0.00 2.00 5.00 5.00 8.00 8.00 37.00 3.00 28.00 23.00 27.00 7.00 28.00 29.00 4.00 35.00 8.00 18.00 7.00 13.00 17.00 20.00 3.00 5.00 23.00 6.00 16.00 17.00 9.00 6.00 13.00 17.00 0.00 10.00 56.00 14.00 46.00 0.00 29.00 0.00
hsa-miR-1256 7.00 2.00 6.00 9.00 1.00 0.00 5.00 3.00 5.00 9.00 2.00 0.00 2.00 0.00 2.00 5.00 1.00 2.00 1.00 0.00 0.00 0.00 0.00 1.00 1.00 7.00 0.00 0.00 1.00 0.00 0.00 4.00 6.00 0.00 2.00 4.00 13.00 0.00 15.00 17.00 17.00 5.00 2.00 10.00 4.00 1.00 9.00 3.00 0.00 1.00 6.00 4.00 3.00 1.00 5.00 1.00 6.00 4.00 0.00 1.00 4.00 0.00 3.00 0.00 3.00 0.00 0.00 0.00 0.00 0.00
