miRNA 1A 2A 3A 4A 5A 6A 7A 8A 9A 10A 11A 12A 13A 14A 15A 16A 17A 18A 19A 20A 21A 22A 23A 24A 25A 26A 27A 28A 29A 30A 31A 32A 33A 34A 35A 36A 37A 38A 39A 40A 41A 42A 43A 44A 45A 46A 47A 48A 49A 50A 51A 52A 53A 54A 55A 56A 57A 58A 59A 60A 61A 62A 63A 64A 65A 66A 67A 68A 69A 70A
hsa-miR-10399-3p 23.00 9.00 0.00 109.00 198.00 143.00 23.00 63.00 62.00 61.00 91.00 44.00 87.00 55.00 88.00 148.00 8.00 67.00 5.00 35.00 8.00 14.00 22.00 71.00 14.00 38.00 14.00 12.00 19.00 11.00 7.00 56.00 42.00 24.00 68.00 80.00 52.00 43.00 34.00 41.00 61.00 87.00 105.00 36.00 71.00 25.00 37.00 29.00 5.00 53.00 24.00 29.00 9.00 5.00 53.00 155.00 63.00 20.00 8.00 4.00 16.00 53.00 27.00 12.00 76.00 21.00 158.00 278.00 31.00 60.00
hsa-miR-4731-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 4.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-let-7g-3p 9.00 3.00 16.00 23.00 58.00 98.00 14.00 15.00 35.00 31.00 19.00 129.00 140.00 14.00 16.00 31.00 2.00 9.00 0.00 2.00 8.00 9.00 5.00 17.00 1.00 10.00 9.00 9.00 7.00 11.00 12.00 29.00 13.00 24.00 97.00 154.00 38.00 75.00 37.00 67.00 18.00 30.00 24.00 9.00 38.00 57.00 14.00 40.00 6.00 28.00 21.00 13.00 3.00 10.00 22.00 36.00 19.00 10.00 3.00 2.00 14.00 29.00 150.00 0.00 14.00 0.00 5.00 20.00 0.00 22.00
hsa-miR-5590-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-551b-5p 1.00 0.00 0.00 4.00 10.00 4.00 0.00 2.00 4.00 2.00 2.00 4.00 3.00 0.00 1.00 0.00 0.00 2.00 0.00 2.00 0.00 0.00 0.00 1.00 0.00 0.00 1.00 0.00 2.00 0.00 0.00 2.00 7.00 2.00 1.00 3.00 0.00 0.00 0.00 0.00 7.00 2.00 3.00 1.00 0.00 0.00 1.00 0.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00 0.00 2.00 3.00 0.00 1.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 19.00 0.00
hsa-miR-769-5p 447.00 50.00 33.00 1312.00 1811.00 1478.00 71.00 437.00 586.00 690.00 1057.00 238.00 630.00 588.00 638.00 906.00 149.00 593.00 123.00 352.00 152.00 138.00 194.00 716.00 175.00 325.00 120.00 192.00 447.00 337.00 63.00 618.00 508.00 438.00 797.00 1561.00 283.00 291.00 340.00 299.00 1125.00 1482.00 1190.00 328.00 997.00 590.00 453.00 223.00 158.00 739.00 383.00 424.00 74.00 256.00 827.00 1127.00 625.00 370.00 76.00 77.00 222.00 524.00 106.00 149.00 668.00 221.00 1435.00 2441.00 871.00 1242.00
hsa-miR-302a-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-3186-3p 0.00 0.00 0.00 2.00 10.00 2.00 0.00 6.00 2.00 1.00 11.00 0.00 1.00 1.00 1.00 4.00 0.00 3.00 0.00 1.00 3.00 9.00 0.00 1.00 3.00 7.00 0.00 1.00 0.00 2.00 0.00 1.00 0.00 1.00 0.00 2.00 0.00 1.00 3.00 0.00 2.00 4.00 4.00 0.00 0.00 0.00 1.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 7.00 4.00 1.00 3.00 0.00 0.00 3.00 0.00 0.00 2.00 3.00 0.00 0.00 18.00 22.00 0.00
hsa-miR-19a-3p 179.00 162.00 435.00 236.00 437.00 1489.00 65.00 136.00 162.00 217.00 405.00 1291.00 1266.00 798.00 205.00 378.00 92.00 346.00 142.00 90.00 285.00 99.00 92.00 440.00 119.00 226.00 142.00 154.00 494.00 187.00 334.00 445.00 667.00 452.00 1427.00 2356.00 338.00 1444.00 597.00 452.00 304.00 1516.00 363.00 343.00 1804.00 266.00 544.00 555.00 205.00 567.00 516.00 465.00 112.00 247.00 395.00 927.00 524.00 225.00 110.00 104.00 342.00 443.00 654.00 343.00 400.00 1.00 135.00 532.00 280.00 201.00
hsa-miR-381-5p 2.00 0.00 0.00 1.00 4.00 3.00 3.00 2.00 5.00 1.00 0.00 1.00 2.00 0.00 4.00 6.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 2.00 1.00 0.00 1.00 6.00 0.00 1.00 1.00 0.00 0.00 0.00 2.00 0.00 0.00 1.00 1.00 0.00 0.00 2.00 0.00 0.00 0.00 2.00 0.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-6741-3p 7.00 0.00 4.00 31.00 23.00 9.00 0.00 33.00 22.00 10.00 3.00 3.00 5.00 1.00 17.00 15.00 9.00 3.00 12.00 4.00 3.00 7.00 4.00 13.00 11.00 6.00 6.00 5.00 13.00 7.00 7.00 10.00 18.00 14.00 5.00 18.00 9.00 6.00 6.00 2.00 25.00 29.00 29.00 48.00 19.00 9.00 42.00 5.00 4.00 9.00 18.00 7.00 0.00 17.00 4.00 7.00 12.00 12.00 13.00 3.00 0.00 8.00 1.00 2.00 7.00 0.00 90.00 19.00 104.00 0.00
hsa-miR-7155-5p 0.00 0.00 3.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 1.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-6845-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-544b 7.00 0.00 0.00 0.00 21.00 0.00 0.00 0.00 10.00 0.00 0.00 3.00 0.00 0.00 0.00 10.00 0.00 8.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 7.00 0.00 0.00 0.00 0.00 11.00 0.00 0.00 0.00 0.00 0.00 0.00 10.00 0.00 0.00 6.00 16.00 0.00 0.00 0.00 6.00 3.00 0.00 0.00 1.00 7.00 0.00 0.00 0.00 0.00 0.00 0.00 5.00 0.00 3.00 0.00 0.00 19.00 0.00 0.00 0.00
hsa-miR-4505 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-8073 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-4633-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-4694-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-3677-5p 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 1.00 1.00 0.00 0.00 1.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 3.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-7848-3p 2.00 0.00 0.00 11.00 14.00 4.00 1.00 1.00 7.00 6.00 7.00 1.00 1.00 2.00 5.00 11.00 7.00 5.00 1.00 7.00 0.00 0.00 1.00 1.00 2.00 7.00 1.00 10.00 0.00 8.00 1.00 9.00 1.00 4.00 0.00 7.00 0.00 1.00 0.00 2.00 3.00 10.00 10.00 9.00 5.00 4.00 5.00 1.00 0.00 5.00 6.00 5.00 0.00 3.00 3.00 1.00 4.00 0.00 5.00 0.00 1.00 2.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-4491 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-668-3p 6.00 3.00 0.00 29.00 13.00 12.00 5.00 10.00 30.00 4.00 9.00 0.00 3.00 3.00 7.00 23.00 1.00 3.00 9.00 6.00 2.00 5.00 0.00 10.00 2.00 20.00 3.00 11.00 14.00 8.00 1.00 21.00 13.00 11.00 0.00 13.00 0.00 7.00 5.00 0.00 4.00 1.00 16.00 21.00 6.00 4.00 17.00 0.00 3.00 21.00 13.00 13.00 1.00 1.00 0.00 5.00 15.00 5.00 0.00 0.00 1.00 1.00 0.00 9.00 13.00 0.00 68.00 40.00 39.00 22.00
hsa-miR-938 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 4.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-3074-3p 8.00 0.00 0.00 14.00 19.00 21.00 0.00 6.00 12.00 12.00 13.00 8.00 10.00 4.00 6.00 20.00 0.00 3.00 1.00 9.00 6.00 1.00 5.00 9.00 1.00 5.00 1.00 8.00 4.00 3.00 0.00 6.00 8.00 5.00 7.00 13.00 10.00 7.00 3.00 1.00 1.00 20.00 32.00 2.00 20.00 10.00 4.00 6.00 4.00 8.00 5.00 3.00 0.00 1.00 8.00 6.00 12.00 1.00 1.00 0.00 2.00 11.00 2.00 2.00 2.00 0.00 0.00 27.00 0.00 0.00
hsa-miR-6716-3p 1.00 0.00 0.00 6.00 0.00 4.00 0.00 2.00 2.00 0.00 1.00 2.00 1.00 0.00 3.00 6.00 0.00 0.00 0.00 3.00 2.00 1.00 4.00 6.00 6.00 1.00 0.00 0.00 2.00 0.00 0.00 1.00 5.00 0.00 2.00 0.00 0.00 2.00 3.00 2.00 6.00 2.00 2.00 4.00 4.00 1.00 2.00 0.00 0.00 3.00 1.00 2.00 0.00 3.00 3.00 1.00 2.00 1.00 0.00 0.00 1.00 0.00 0.00 1.00 2.00 0.00 2.00 0.00 88.00 35.00
hsa-miR-342-3p 21193.00 692.00 6783.00 70819.00 29274.00 31706.00 8377.00 29951.00 76590.00 47419.00 29822.00 17150.00 30409.00 10531.00 47146.00 52239.00 8841.00 14917.00 6039.00 12747.00 4406.00 10090.00 11460.00 22242.00 10968.00 14406.00 8969.00 17747.00 24131.00 26943.00 7057.00 18156.00 14305.00 26899.00 14313.00 25665.00 16655.00 10249.00 16051.00 12273.00 39019.00 20426.00 39263.00 27298.00 30071.00 37440.00 11155.00 9042.00 4405.00 16280.00 19082.00 15037.00 2875.00 10097.00 16659.00 29069.00 21278.00 13203.00 3751.00 2454.00 13443.00 20363.00 3162.00 16705.00 27438.00 29027.00 73542.00 103151.00 46040.00 40895.00
hsa-miR-5587-5p 1.00 0.00 0.00 9.00 14.00 12.00 0.00 1.00 4.00 3.00 6.00 2.00 2.00 7.00 21.00 6.00 0.00 1.00 0.00 2.00 0.00 3.00 0.00 6.00 2.00 0.00 0.00 1.00 1.00 7.00 0.00 2.00 3.00 1.00 7.00 3.00 3.00 1.00 0.00 7.00 4.00 5.00 5.00 1.00 3.00 3.00 1.00 3.00 1.00 5.00 1.00 3.00 0.00 2.00 2.00 3.00 1.00 0.00 1.00 0.00 0.00 5.00 1.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-584-5p 11003.00 1139.00 2224.00 25289.00 27972.00 15104.00 3002.00 17322.00 15792.00 14429.00 19371.00 4619.00 9723.00 9068.00 22121.00 17759.00 7646.00 12761.00 9289.00 14842.00 2494.00 4494.00 5465.00 15804.00 3578.00 15390.00 3459.00 4271.00 19143.00 10037.00 1779.00 20894.00 11792.00 12543.00 13154.00 9807.00 7242.00 8150.00 8255.00 9504.00 13634.00 16856.00 27497.00 10155.00 19465.00 7104.00 4708.00 5607.00 2569.00 17796.00 9816.00 9217.00 1539.00 4543.00 9587.00 10257.00 12936.00 8943.00 1826.00 1265.00 4235.00 9248.00 5861.00 5632.00 33089.00 16883.00 51601.00 77596.00 37585.00 32677.00
hsa-miR-298 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-8055 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-3612 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-542-5p 42.00 8.00 17.00 51.00 245.00 221.00 23.00 52.00 43.00 56.00 207.00 76.00 79.00 39.00 78.00 45.00 15.00 105.00 27.00 106.00 83.00 51.00 30.00 74.00 59.00 33.00 18.00 51.00 95.00 42.00 14.00 47.00 38.00 44.00 77.00 85.00 55.00 75.00 16.00 13.00 57.00 95.00 72.00 33.00 86.00 79.00 35.00 43.00 14.00 48.00 37.00 31.00 9.00 50.00 80.00 154.00 73.00 27.00 15.00 8.00 35.00 42.00 34.00 31.00 101.00 49.00 113.00 244.00 199.00 224.00
hsa-miR-1231 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-19b-3p 1253 854 2652 3640 5495 15186 425 1073 1737 2503 3428 16493 20744 7424 2179 4627 642 2863 595 822 1367 682 771 4060 884 1761 876 1101 2868 1334 2569 4469 4080 4267 16843 30657 4333 16093 5269 5251 2368 9339 3464 1929 10980 2394 3389 8226 1630 5890 3316 3079 853 1518 3623 11201 3982 1829 1074 805 3164 5504 7989 1479 3399 500 1014 5412 858 1342
hsa-miR-4255 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-10396a-3p 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 4.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-675-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 3.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 3.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-199a-5p 1995 1204 302 4374 9579 12586 398 1448 3624 3115 6644 2272 6160 4127 3590 4688 1340 4252 1656 4011 2168 1418 1050 4674 952 2462 1054 1320 4165 1970 260 4822 4108 2858 7430 14482 1502 1696 2506 1797 2927 11148 7048 2960 15566 3452 3192 2470 1198 6476 5260 3793 850 2046 4962 9778 5858 3163 850 774 1864 2932 390 2409 3111 582 2830 7266 1524 1822
hsa-miR-513b-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-4455 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-3682-3p 2.00 0.00 1.00 14.00 26.00 17.00 3.00 15.00 6.00 10.00 11.00 9.00 10.00 9.00 9.00 25.00 1.00 6.00 4.00 3.00 0.00 0.00 0.00 7.00 6.00 7.00 4.00 1.00 8.00 8.00 3.00 8.00 5.00 5.00 20.00 3.00 9.00 14.00 7.00 10.00 15.00 13.00 5.00 6.00 7.00 3.00 5.00 18.00 0.00 10.00 3.00 3.00 2.00 3.00 5.00 9.00 4.00 11.00 1.00 2.00 3.00 11.00 13.00 0.00 45.00 21.00 47.00 92.00 56.00 62.00
hsa-miR-9500 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-6828-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-6718-5p 0.00 0.00 0.00 0.00 5.00 0.00 4.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 4.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-939-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 3.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 1.00 0.00 0.00 2.00 1.00 1.00 2.00 0.00 0.00 0.00 2.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-548ad-5p 297 29 272 442 1348 1648 265 257 419 548 1080 4431 3091 773 463 1087 151 580 145 472 262 178 262 436 174 226 153 180 378 280 247 788 332 362 2553 1545 882 3654 1341 1075 545 894 505 150 870 206 258 1632 176 536 306 226 127 206 352 862 712 334 38 68 756 1022 3801 232 875 575 210 1348 298 527
hsa-miR-339-3p 845.00 119.00 244.00 2454.00 3675.00 3940.00 342.00 1302.00 1491.00 1571.00 2420.00 1517.00 2443.00 1636.00 1681.00 2656.00 219.00 1342.00 274.00 735.00 266.00 395.00 521.00 2199.00 533.00 866.00 341.00 627.00 1079.00 1034.00 505.00 1531.00 1379.00 1340.00 4048.00 4450.00 1356.00 1593.00 850.00 1699.00 1746.00 1568.00 3014.00 627.00 2214.00 1833.00 1268.00 1117.00 419.00 1984.00 1035.00 950.00 181.00 662.00 1243.00 2619.00 1585.00 875.00 221.00 167.00 741.00 1862.00 1611.00 504.00 1099.00 434.00 1382.00 3056.00 856.00 967.00
