miRNA 31A 31B 32A 32B 33A 33B 34A 34B 35A 35B 36A 36B 37A 37B 38A 38B 39A 39B 40A 40B 41A 41B 42A 42B 43A 43B 44A 44B 45A 45B 46A 46B 47A 47B 48A 48B 49A 49B 50A 50B 51A 51B 52A 52B 53A 53B 54A 54B 55A 55B 56A 56B 57A 57B 58A 58B 59A 59B 60A 60B 61A 61B 62A 62B 63A 63B 64A 64B 65A 65B 66A 66B 67A 67B 68A 68B 69A 69B 70A 70B
hsa-miR-4641 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-370-5p 0.00 0.00 7.00 1.00 7.00 5.00 1.00 1.00 4.00 4.00 16.00 4.00 8.00 29.00 5.00 3.00 3.00 10.00 0.00 16.00 10.00 11.00 2.00 0.00 6.00 0.00 5.00 45.00 5.00 9.00 10.00 13.00 5.00 8.00 1.00 1.00 3.00 1.00 17.00 19.00 8.00 6.00 3.00 6.00 2.00 0.00 2.00 0.00 5.00 6.00 5.00 5.00 12.00 1.00 2.00 1.00 0.00 5.00 0.00 0.00 4.00 14.00 13.00 13.00 0.00 0.00 9.00 0.00 7.00 13.00 0.00 3.00 10.00 0.00 32.00 1.00 0.00 28.00 0.00 0.00
hsa-miR-4732-5p 1344.00 3682.00 979.00 361.00 60.00 146.00 519.00 3585.00 2918.00 1795.00 572.00 2474.00 2742.00 444.00 3420.00 4302.00 1133.00 99.00 5356.00 500.00 2273.00 209.00 104.00 77.00 285.00 224.00 205.00 245.00 116.00 165.00 276.00 446.00 496.00 149.00 1754.00 431.00 163.00 72.00 247.00 219.00 203.00 491.00 130.00 173.00 184.00 509.00 546.00 4341.00 186.00 301.00 290.00 432.00 443.00 824.00 392.00 749.00 226.00 402.00 159.00 495.00 1188.00 732.00 634.00 456.00 3244.00 2267.00 84.00 1507.00 2265.00 208.00 386.00 4388.00 1212.00 4432.00 1238.00 1390.00 596.00 835.00 1629.00 769.00
hsa-miR-6760-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-7162-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-8060 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-1237-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-4421 0.00 0.00 0.00 0.00 0.00 1.00 0.00 1.00 7.00 3.00 4.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00 1.00 5.00 1.00 1.00 5.00 0.00 0.00 4.00 3.00 0.00 3.00 6.00 0.00 7.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 1.00 0.00 4.00 3.00 0.00 2.00 0.00 5.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-3195 9.00 3.00 6.00 1.00 8.00 0.00 0.00 1.00 4.00 5.00 0.00 3.00 1.00 0.00 0.00 0.00 5.00 0.00 1.00 0.00 0.00 0.00 1.00 6.00 0.00 3.00 4.00 0.00 0.00 3.00 8.00 0.00 0.00 1.00 2.00 3.00 1.00 0.00 0.00 0.00 0.00 0.00 1.00 3.00 0.00 0.00 0.00 0.00 0.00 3.00 0.00 3.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 3.00 0.00 2.00 1.00 3.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-193a-5p 259.00 127.00 255.00 203.00 47.00 98.00 162.00 167.00 276.00 191.00 222.00 481.00 356.00 1144.00 445.00 311.00 175.00 919.00 319.00 957.00 1006.00 602.00 467.00 131.00 416.00 747.00 293.00 418.00 219.00 184.00 119.00 307.00 257.00 103.00 129.00 282.00 109.00 395.00 293.00 374.00 388.00 370.00 177.00 223.00 65.00 134.00 566.00 325.00 1073.00 677.00 1245.00 1142.00 949.00 1322.00 750.00 1359.00 70.00 120.00 36.00 254.00 754.00 483.00 235.00 349.00 424.00 506.00 222.00 689.00 243.00 587.00 664.00 354.00 508.00 149.00 1118.00 117.00 192.00 410.00 335.00 84.00
hsa-miR-4486 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-4534 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-2278 7.00 15.00 40.00 14.00 9.00 16.00 12.00 7.00 22.00 19.00 43.00 24.00 11.00 35.00 15.00 16.00 10.00 23.00 31.00 47.00 47.00 56.00 37.00 9.00 48.00 9.00 13.00 43.00 20.00 7.00 6.00 46.00 22.00 15.00 13.00 18.00 1.00 9.00 21.00 28.00 13.00 14.00 4.00 22.00 3.00 8.00 8.00 9.00 11.00 21.00 19.00 7.00 15.00 10.00 22.00 11.00 3.00 7.00 3.00 6.00 5.00 14.00 17.00 24.00 8.00 6.00 9.00 2.00 7.00 11.00 0.00 34.00 11.00 0.00 34.00 0.00 0.00 0.00 0.00 49.00
hsa-miR-892c-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-1179 10.00 21.00 87.00 28.00 63.00 38.00 37.00 18.00 87.00 79.00 96.00 35.00 44.00 114.00 28.00 28.00 57.00 78.00 39.00 151.00 59.00 177.00 181.00 65.00 163.00 35.00 54.00 216.00 176.00 155.00 49.00 124.00 60.00 112.00 44.00 38.00 12.00 48.00 118.00 146.00 68.00 111.00 63.00 104.00 7.00 24.00 40.00 65.00 43.00 58.00 138.00 46.00 114.00 77.00 67.00 18.00 6.00 13.00 14.00 19.00 29.00 66.00 67.00 67.00 23.00 25.00 40.00 12.00 55.00 68.00 0.00 41.00 29.00 36.00 27.00 26.00 35.00 0.00 0.00 0.00
hsa-miR-6834-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-380-5p 0.00 0.00 7.00 4.00 15.00 5.00 4.00 0.00 5.00 5.00 38.00 1.00 2.00 25.00 4.00 2.00 5.00 10.00 1.00 20.00 5.00 16.00 2.00 0.00 2.00 1.00 1.00 34.00 6.00 6.00 3.00 13.00 9.00 23.00 1.00 2.00 2.00 7.00 8.00 14.00 10.00 19.00 4.00 6.00 0.00 0.00 7.00 1.00 6.00 3.00 10.00 1.00 5.00 5.00 2.00 0.00 0.00 4.00 0.00 0.00 3.00 4.00 8.00 8.00 1.00 0.00 3.00 0.00 25.00 91.00 0.00 3.00 8.00 87.00 27.00 24.00 0.00 0.00 0.00 0.00
hsa-miR-6759-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-19b-1-5p 16.00 22.00 47.00 26.00 23.00 45.00 21.00 21.00 53.00 41.00 80.00 15.00 47.00 123.00 30.00 30.00 35.00 59.00 24.00 106.00 38.00 112.00 83.00 19.00 63.00 17.00 20.00 112.00 61.00 35.00 19.00 62.00 31.00 52.00 23.00 18.00 11.00 22.00 43.00 38.00 21.00 21.00 30.00 40.00 0.00 4.00 14.00 25.00 35.00 28.00 49.00 15.00 35.00 18.00 4.00 18.00 8.00 7.00 3.00 0.00 13.00 14.00 26.00 22.00 23.00 22.00 11.00 4.00 6.00 21.00 0.00 7.00 15.00 26.00 64.00 0.00 0.00 0.00 24.00 0.00
hsa-miR-500a-5p 122 174 156 290 26 66 118 184 176 306 326 156 254 106 156 152 156 32 268 104 52 98 48 10 70 18 14 72 84 66 50 38 28 66 226 22 30 16 92 42 6 62 14 50 8 6 22 234 52 50 74 26 48 26 22 24 10 16 18 24 114 108 124 22 228 250 22 20 80 34 0 176 16 26 0 0 0 0 0 0
hsa-miR-744-5p 1732.00 1283.00 8886.00 3271.00 10103.00 5098.00 7433.00 1774.00 5884.00 4938.00 9482.00 5250.00 4818.00 16917.00 3022.00 1734.00 5165.00 17529.00 5599.00 14908.00 15268.00 18400.00 19705.00 5084.00 17086.00 9407.00 12603.00 25242.00 13025.00 10269.00 7357.00 18705.00 13021.00 3476.00 2630.00 9839.00 2725.00 4451.00 6422.00 11156.00 9902.00 10058.00 7684.00 8848.00 1248.00 4100.00 5342.00 3088.00 8048.00 10599.00 9710.00 5144.00 10866.00 7216.00 9899.00 6436.00 2055.00 2887.00 1215.00 4107.00 4406.00 5453.00 4145.00 10742.00 667.00 2076.00 3902.00 1508.00 3812.00 7927.00 4893.00 5084.00 19350.00 3666.00 16282.00 9034.00 12930.00 12912.00 8817.00 2595.00
hsa-miR-26a-2-3p 0.00 4.00 12.00 6.00 22.00 22.00 13.00 7.00 14.00 21.00 33.00 5.00 7.00 30.00 16.00 4.00 6.00 19.00 0.00 28.00 5.00 21.00 44.00 7.00 30.00 19.00 18.00 31.00 61.00 39.00 14.00 12.00 3.00 21.00 10.00 2.00 1.00 22.00 9.00 21.00 23.00 21.00 6.00 7.00 0.00 8.00 8.00 4.00 12.00 18.00 17.00 4.00 24.00 7.00 11.00 7.00 2.00 0.00 1.00 4.00 7.00 9.00 5.00 5.00 5.00 15.00 4.00 2.00 11.00 15.00 0.00 17.00 0.00 0.00 3.00 0.00 0.00 62.00 0.00 0.00
hsa-miR-3605-3p 105.00 56.00 53.00 28.00 46.00 24.00 76.00 99.00 66.00 73.00 60.00 76.00 62.00 69.00 68.00 72.00 46.00 101.00 106.00 52.00 156.00 73.00 68.00 19.00 104.00 89.00 78.00 103.00 39.00 47.00 67.00 120.00 54.00 8.00 35.00 40.00 16.00 9.00 33.00 44.00 46.00 55.00 28.00 34.00 6.00 44.00 45.00 79.00 49.00 47.00 47.00 30.00 74.00 102.00 75.00 90.00 22.00 33.00 13.00 38.00 49.00 40.00 41.00 48.00 50.00 65.00 28.00 47.00 97.00 62.00 64.00 72.00 125.00 119.00 99.00 254.00 200.00 246.00 189.00 202.00
hsa-miR-34a-3p 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 1.00 2.00 0.00 0.00 0.00 1.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 2.00 1.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 3.00 0.00 1.00 0.00 0.00 3.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-4677-3p 7.00 9.00 14.00 22.00 19.00 7.00 11.00 6.00 41.00 25.00 55.00 8.00 11.00 54.00 12.00 19.00 15.00 9.00 9.00 49.00 9.00 38.00 41.00 7.00 23.00 11.00 13.00 39.00 44.00 24.00 12.00 16.00 8.00 29.00 14.00 11.00 1.00 3.00 9.00 12.00 8.00 23.00 13.00 16.00 4.00 6.00 14.00 5.00 10.00 8.00 20.00 5.00 6.00 6.00 6.00 15.00 2.00 4.00 1.00 1.00 6.00 13.00 12.00 16.00 9.00 13.00 2.00 0.00 14.00 53.00 0.00 62.00 10.00 60.00 63.00 0.00 24.00 91.00 27.00 0.00
hsa-miR-758-3p 1.00 5.00 51.00 15.00 45.00 36.00 29.00 4.00 30.00 26.00 291.00 20.00 16.00 219.00 19.00 20.00 10.00 99.00 15.00 123.00 39.00 133.00 20.00 2.00 75.00 17.00 14.00 151.00 45.00 39.00 48.00 105.00 60.00 88.00 7.00 18.00 21.00 59.00 57.00 62.00 34.00 72.00 29.00 46.00 2.00 12.00 22.00 15.00 22.00 8.00 59.00 21.00 35.00 21.00 7.00 14.00 3.00 16.00 3.00 9.00 14.00 24.00 25.00 44.00 4.00 9.00 20.00 8.00 59.00 64.00 30.00 51.00 60.00 0.00 86.00 29.00 25.00 35.00 9.00 98.00
hsa-miR-3122 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 1.00 1.00 1.00 0.00 0.00 0.00 5.00 0.00 1.00 1.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 3.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 1.00 0.00 0.00 1.00 0.00 0.00 0.00 1.00 0.00 0.00 4.00 0.00 0.00 1.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-6732-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-4274 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-4465 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-598-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 1.00 0.00 2.00 0.00 0.00 1.00 0.00 0.00 1.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-548ar-3p 0.00 0.00 0.00 0.00 3.00 1.00 6.00 8.00 1.00 0.00 1.00 2.00 0.00 1.00 0.00 0.00 0.00 2.00 0.00 0.00 4.00 0.00 1.00 0.00 0.00 1.00 0.00 0.00 2.00 3.00 1.00 0.00 1.00 1.00 1.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-4690-3p 1.00 8.00 4.00 2.00 1.00 7.00 1.00 2.00 25.00 20.00 12.00 3.00 2.00 6.00 14.00 26.00 4.00 4.00 8.00 22.00 1.00 10.00 4.00 0.00 6.00 0.00 0.00 2.00 6.00 0.00 4.00 6.00 0.00 5.00 8.00 0.00 1.00 2.00 1.00 1.00 0.00 3.00 4.00 4.00 0.00 1.00 0.00 4.00 2.00 2.00 11.00 3.00 1.00 2.00 3.00 0.00 0.00 0.00 0.00 0.00 4.00 12.00 6.00 1.00 19.00 4.00 0.00 0.00 0.00 0.00 0.00 3.00 0.00 0.00 27.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-202-5p 0.00 5.00 1.00 0.00 0.00 0.00 0.00 1.00 9.00 7.00 7.00 1.00 3.00 1.00 10.00 14.00 4.00 0.00 0.00 2.00 2.00 1.00 3.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 1.00 0.00 0.00 0.00 1.00 6.00 1.00 0.00 1.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 1.00 2.00 0.00 3.00 3.00 0.00 0.00 2.00 0.00 0.00 7.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-378d 1 5 8 10 0 4 5 0 14 4 8 2 2 24 7 9 1 2 5 23 0 20 5 0 2 1 5 0 21 18 0 4 1 13 0 4 2 14 5 5 3 7 0 6 0 0 6 3 5 5 17 1 1 8 0 3 2 0 0 2 4 9 9 3 2 1 6 4 12 20 3 25 0 34 3 1 0 1 1 0
hsa-miR-6765-5p 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 2.00 2.00 0.00 0.00 0.00 0.00 0.00 6.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 1.00 0.00 4.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-6511a-5p 6 6 18 6 24 6 0 12 18 12 12 12 6 12 12 18 0 6 12 18 6 30 6 0 12 0 6 42 6 18 24 0 48 0 6 18 12 0 0 42 12 12 0 6 0 0 0 42 0 6 6 6 6 12 0 18 0 0 0 0 0 6 18 0 24 24 0 0 54 0 0 0 72 0 0 0 0 0 0 0
hsa-miR-1267 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-4668-5p 1.00 8.00 1.00 1.00 0.00 1.00 3.00 4.00 2.00 9.00 6.00 4.00 4.00 3.00 6.00 6.00 2.00 1.00 7.00 2.00 3.00 3.00 2.00 0.00 1.00 1.00 2.00 4.00 2.00 0.00 1.00 0.00 0.00 0.00 1.00 4.00 0.00 0.00 1.00 1.00 5.00 3.00 0.00 4.00 0.00 1.00 1.00 0.00 3.00 0.00 2.00 4.00 2.00 3.00 0.00 2.00 0.00 3.00 0.00 0.00 0.00 6.00 4.00 1.00 3.00 2.00 0.00 2.00 8.00 24.00 0.00 11.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-6730-3p 2.00 1.00 2.00 0.00 0.00 0.00 0.00 1.00 4.00 1.00 0.00 2.00 0.00 0.00 2.00 2.00 1.00 0.00 1.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 1.00 0.00 0.00 2.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 2.00 0.00 0.00 1.00 0.00 0.00 0.00 2.00 0.00 1.00 1.00 0.00 8.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 15.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-4671-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-920 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
