miRNA 1A 1B 2A 2B 3A 3B 4A 4B 5A 5B 6A 6B 7A 7B 8A 8B 9A 9B 10A 10B 11A 11B 12A 12B 13A 13B 14A 14B 15A 15B 16A 16B 17A 17B 18A 18B 19A 19B 20A 20B 21A 21B 22A 22B 23A 23B 24A 24B 25A 25B 26A 26B 27A 27B 28A 28B 29A 29B 30A 30B
hsa-miR-1324 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-320d 4938 1815 207 951 784 2182 2203 3029 3036 3434 1533 2176 4407 3415 3621 2302 1718 2474 3367 1768 1763 2523 1451 1028 2362 2864 1424 1805 2727 954 2994 3892 861 4121 2027 1127 1366 749 1417 1383 523 346 1313 1204 1483 641 1037 2922 613 1080 1510 1675 720 840 1470 305 907 986 2438 2493
hsa-miR-526b-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-3620-5p 0.00 3.00 0.00 0.00 0.00 2.00 1.00 0.00 4.00 3.00 3.00 4.00 4.00 1.00 2.00 0.00 1.00 1.00 6.00 4.00 2.00 2.00 4.00 0.00 1.00 0.00 1.00 1.00 4.00 2.00 2.00 2.00 0.00 2.00 0.00 0.00 2.00 0.00 2.00 0.00 0.00 0.00 0.00 2.00 1.00 0.00 4.00 1.00 1.00 1.00 1.00 0.00 1.00 1.00 0.00 0.00 1.00 3.00 0.00 2.00
hsa-miR-95-3p 38.00 81.00 3.00 20.00 12.00 38.00 55.00 161.00 33.00 35.00 97.00 86.00 15.00 82.00 29.00 37.00 20.00 58.00 37.00 24.00 35.00 42.00 60.00 42.00 160.00 208.00 22.00 30.00 38.00 18.00 61.00 75.00 11.00 65.00 19.00 16.00 4.00 0.00 11.00 21.00 5.00 5.00 15.00 5.00 23.00 10.00 25.00 30.00 6.00 17.00 12.00 13.00 24.00 35.00 24.00 21.00 17.00 10.00 28.00 50.00
hsa-miR-3926 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-4688 4.00 13.00 0.00 1.00 0.00 3.00 11.00 11.00 15.00 3.00 12.00 10.00 0.00 8.00 12.00 2.00 12.00 9.00 6.00 20.00 12.00 9.00 6.00 9.00 8.00 3.00 1.00 3.00 10.00 7.00 18.00 11.00 5.00 8.00 14.00 4.00 0.00 0.00 9.00 8.00 0.00 0.00 5.00 0.00 7.00 3.00 4.00 8.00 5.00 6.00 7.00 12.00 2.00 1.00 1.00 0.00 5.00 1.00 1.00 6.00
hsa-miR-222-3p 5714.00 11558.00 500.00 2179.00 596.00 5758.00 16018.00 17318.00 15641.00 7433.00 11749.00 5238.00 1750.00 8317.00 4754.00 5207.00 7127.00 8755.00 7765.00 16759.00 11465.00 11893.00 2853.00 3880.00 5646.00 5113.00 5375.00 3636.00 7983.00 4377.00 9274.00 10578.00 1530.00 5062.00 4154.00 2729.00 1917.00 841.00 5463.00 2713.00 1400.00 751.00 2236.00 2199.00 2124.00 1074.00 6994.00 5209.00 2029.00 3790.00 4664.00 7563.00 1602.00 1821.00 1988.00 763.00 4641.00 2611.00 6638.00 6420.00
hsa-miR-617 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 3.00 10.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 2.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 1.00
hsa-miR-6865-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 3.00 0.00 2.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 3.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00
hsa-miR-4285 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-1178-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-4796-5p 0.00 0.00 0.00 0.00 0.00 0.00 1.00 2.00 0.00 0.00 0.00 2.00 0.00 1.00 0.00 0.00 1.00 0.00 0.00 1.00 0.00 0.00 2.00 0.00 0.00 1.00 0.00 0.00 2.00 0.00 0.00 1.00 2.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00
hsa-miR-1297 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-7852-3p 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 1.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00 1.00 3.00 0.00 0.00 1.00 0.00 0.00 0.00 1.00 0.00 1.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 4.00 0.00
hsa-miR-1208 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-4522 1.00 2.00 0.00 0.00 0.00 1.00 0.00 0.00 2.00 0.00 4.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 5.00 0.00 1.00 1.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 1.00 0.00 0.00 2.00 0.00 1.00 0.00 1.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00
hsa-miR-34c-3p 0.00 0.00 0.00 0.00 0.00 11.00 1.00 2.00 15.00 26.00 7.00 5.00 2.00 0.00 1.00 1.00 4.00 11.00 0.00 0.00 8.00 15.00 3.00 0.00 2.00 1.00 1.00 0.00 6.00 1.00 5.00 1.00 0.00 1.00 2.00 3.00 0.00 3.00 10.00 0.00 0.00 3.00 1.00 0.00 8.00 0.00 6.00 8.00 4.00 1.00 0.00 6.00 1.00 2.00 5.00 0.00 7.00 8.00 2.00 5.00
hsa-miR-6784-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-767-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-6771-5p 3.00 0.00 0.00 0.00 0.00 1.00 0.00 2.00 1.00 4.00 0.00 1.00 0.00 0.00 0.00 2.00 0.00 2.00 3.00 1.00 1.00 7.00 0.00 0.00 1.00 0.00 0.00 1.00 0.00 0.00 0.00 2.00 0.00 1.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 1.00
hsa-miR-6875-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-1253 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-4764-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-6789-3p 1.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 2.00 1.00 0.00 3.00 0.00 0.00 2.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 1.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-134-3p 5.00 0.00 0.00 1.00 0.00 2.00 1.00 3.00 2.00 1.00 2.00 1.00 0.00 2.00 0.00 3.00 4.00 1.00 5.00 2.00 0.00 2.00 1.00 0.00 2.00 4.00 1.00 0.00 0.00 0.00 2.00 3.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00
hsa-miR-936 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-921 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-193a-3p 0.00 1.00 0.00 0.00 0.00 0.00 1.00 0.00 2.00 0.00 0.00 0.00 0.00 2.00 0.00 1.00 0.00 0.00 0.00 0.00 1.00 0.00 3.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-1185-5p 22 102 34 28 0 74 42 56 80 18 146 22 0 6 12 40 32 42 0 16 40 54 20 20 36 18 38 18 6 14 48 94 0 14 6 6 4 2 8 14 6 2 4 0 10 0 18 6 0 4 22 74 6 10 8 0 32 16 10 10
hsa-miR-6847-5p 8.00 13.00 0.00 3.00 0.00 7.00 22.00 18.00 26.00 2.00 7.00 5.00 0.00 10.00 19.00 1.00 5.00 8.00 16.00 13.00 11.00 17.00 1.00 2.00 6.00 3.00 1.00 3.00 6.00 5.00 11.00 8.00 12.00 2.00 9.00 1.00 2.00 0.00 2.00 5.00 2.00 4.00 4.00 1.00 1.00 4.00 8.00 1.00 0.00 11.00 9.00 9.00 0.00 0.00 3.00 0.00 6.00 4.00 3.00 10.00
hsa-miR-1199-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-4655-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 4.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-6833-3p 0.00 1.00 0.00 0.00 4.00 1.00 0.00 4.00 1.00 0.00 0.00 0.00 0.00 8.00 1.00 4.00 0.00 4.00 0.00 0.00 0.00 2.00 4.00 3.00 5.00 2.00 3.00 1.00 0.00 1.00 1.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-1277-3p 11.00 81.00 65.00 45.00 12.00 29.00 24.00 35.00 17.00 11.00 123.00 10.00 6.00 7.00 9.00 10.00 30.00 9.00 26.00 44.00 44.00 37.00 21.00 16.00 23.00 30.00 22.00 13.00 26.00 20.00 11.00 7.00 14.00 16.00 15.00 49.00 15.00 20.00 20.00 7.00 24.00 21.00 8.00 11.00 8.00 3.00 31.00 26.00 10.00 24.00 14.00 21.00 14.00 15.00 21.00 29.00 44.00 49.00 26.00 21.00
hsa-miR-4776-3p 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-1538 14.00 16.00 0.00 0.00 4.00 2.00 21.00 16.00 20.00 11.00 17.00 12.00 3.00 15.00 20.00 11.00 14.00 26.00 20.00 22.00 18.00 18.00 2.00 20.00 4.00 10.00 4.00 1.00 16.00 13.00 14.00 19.00 3.00 6.00 5.00 6.00 6.00 5.00 10.00 8.00 2.00 0.00 3.00 11.00 2.00 2.00 7.00 4.00 7.00 2.00 9.00 9.00 10.00 4.00 7.00 3.00 6.00 3.00 3.00 6.00
hsa-miR-208a-3p 5.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 1.00 1.00 0.00 0.00 2.00 0.00 0.00 4.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 3.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-30c-2-3p 2.00 11.00 0.00 3.00 0.00 9.00 5.00 9.00 13.00 8.00 11.00 2.00 1.00 2.00 3.00 1.00 7.00 7.00 2.00 10.00 1.00 7.00 4.00 4.00 14.00 1.00 3.00 0.00 1.00 2.00 0.00 13.00 2.00 4.00 2.00 0.00 4.00 0.00 1.00 4.00 1.00 0.00 0.00 0.00 2.00 0.00 3.00 3.00 0.00 5.00 0.00 7.00 0.00 1.00 3.00 0.00 0.00 0.00 4.00 3.00
hsa-miR-3116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0
hsa-miR-30e-3p 1004.00 5089.00 277.00 903.00 305.00 2596.00 2285.00 4130.00 3579.00 1351.00 5206.00 1621.00 203.00 1675.00 870.00 1405.00 1509.00 1767.00 1542.00 3223.00 2258.00 2819.00 2154.00 654.00 3738.00 3306.00 1685.00 920.00 1358.00 908.00 2872.00 2866.00 313.00 1764.00 1196.00 688.00 372.00 244.00 744.00 471.00 640.00 246.00 423.00 479.00 415.00 171.00 2297.00 1043.00 399.00 1263.00 819.00 1741.00 376.00 408.00 611.00 293.00 1283.00 536.00 933.00 1123.00
hsa-miR-149-5p 8.00 1.00 11.00 6.00 7.00 2.00 8.00 7.00 15.00 25.00 7.00 2.00 14.00 12.00 15.00 5.00 13.00 6.00 21.00 17.00 4.00 3.00 0.00 5.00 4.00 6.00 2.00 5.00 26.00 8.00 6.00 8.00 6.00 2.00 4.00 8.00 5.00 7.00 8.00 2.00 7.00 4.00 3.00 5.00 7.00 2.00 12.00 8.00 6.00 2.00 15.00 3.00 11.00 7.00 5.00 8.00 3.00 5.00 3.00 5.00
hsa-miR-4646-5p 9.00 19.00 0.00 4.00 3.00 6.00 5.00 10.00 15.00 5.00 10.00 14.00 2.00 17.00 3.00 29.00 1.00 13.00 7.00 13.00 6.00 1.00 12.00 9.00 11.00 11.00 7.00 12.00 7.00 7.00 11.00 6.00 3.00 9.00 12.00 2.00 1.00 0.00 3.00 3.00 0.00 0.00 5.00 5.00 1.00 4.00 5.00 7.00 5.00 3.00 2.00 10.00 0.00 0.00 0.00 0.00 3.00 0.00 3.00 4.00
hsa-miR-3198 40 72 0 4 2 30 68 78 88 56 60 18 4 44 58 44 34 44 38 82 60 84 20 32 24 30 26 20 68 20 68 50 6 44 18 6 2 0 46 24 14 2 4 10 10 6 44 40 20 22 46 34 16 10 6 0 26 8 48 36
hsa-miR-9900 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-221-3p 80889.00 149873.00 5188.00 21809.00 5269.00 100476.00 203687.00 215895.00 186950.00 54435.00 189469.00 69746.00 12726.00 78365.00 69753.00 68386.00 90642.00 111900.00 94349.00 197948.00 117687.00 134820.00 27595.00 34105.00 72472.00 53715.00 84357.00 55964.00 90413.00 49982.00 148052.00 186626.00 22709.00 124165.00 75442.00 39922.00 24634.00 7803.00 56409.00 41028.00 10639.00 4998.00 20546.00 17707.00 18915.00 7459.00 98156.00 72499.00 17798.00 49804.00 57236.00 139192.00 20139.00 19511.00 21393.00 6144.00 68419.00 24379.00 68375.00 79076.00
hsa-miR-520f-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-3139 0.00 4.00 0.00 1.00 0.00 0.00 1.00 1.00 0.00 4.00 2.00 3.00 0.00 1.00 0.00 1.00 0.00 0.00 2.00 1.00 1.00 0.00 9.00 0.00 4.00 6.00 1.00 0.00 0.00 0.00 3.00 4.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00
hsa-miR-4999-5p 7.00 22.00 0.00 5.00 0.00 18.00 19.00 33.00 9.00 2.00 27.00 9.00 0.00 10.00 1.00 7.00 1.00 14.00 2.00 9.00 6.00 3.00 8.00 0.00 33.00 33.00 5.00 7.00 6.00 2.00 23.00 29.00 3.00 9.00 6.00 2.00 1.00 0.00 1.00 5.00 3.00 0.00 3.00 0.00 1.00 0.00 14.00 4.00 3.00 7.00 1.00 6.00 1.00 1.00 4.00 0.00 2.00 4.00 1.00 4.00
hsa-miR-20b-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 1.00 0.00 3.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 1.00 2.00 0.00 4.00 5.00 0.00 0.00 0.00 0.00 2.00 5.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 1.00 0.00 0.00 5.00 0.00 2.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 1.00
hsa-miR-5188 0.00 8.00 0.00 2.00 0.00 3.00 1.00 1.00 6.00 4.00 5.00 3.00 0.00 9.00 0.00 3.00 2.00 6.00 5.00 1.00 9.00 5.00 2.00 0.00 6.00 10.00 3.00 0.00 3.00 1.00 4.00 10.00 0.00 2.00 2.00 0.00 1.00 0.00 5.00 0.00 0.00 0.00 1.00 0.00 1.00 0.00 2.00 3.00 5.00 1.00 1.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-652-3p 895.00 3734.00 77.00 678.00 359.00 1631.00 3601.00 4061.00 3309.00 1217.00 3133.00 1746.00 311.00 2451.00 1184.00 2728.00 1475.00 2538.00 1357.00 2462.00 1877.00 2124.00 1526.00 466.00 2607.00 3194.00 2678.00 1801.00 1445.00 815.00 4312.00 3856.00 381.00 1737.00 1471.00 458.00 335.00 105.00 1146.00 579.00 219.00 64.00 452.00 394.00 445.00 157.00 1570.00 1004.00 431.00 1090.00 1134.00 2053.00 421.00 443.00 467.00 122.00 891.00 370.00 1168.00 1276.00
hsa-miR-4737 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-4734 0.00 1.00 0.00 0.00 0.00 1.00 7.00 2.00 2.00 2.00 3.00 3.00 0.00 3.00 3.00 6.00 1.00 1.00 5.00 4.00 3.00 5.00 1.00 0.00 2.00 1.00 1.00 2.00 6.00 1.00 4.00 1.00 0.00 0.00 4.00 0.00 1.00 0.00 1.00 1.00 0.00 0.00 2.00 2.00 0.00 1.00 0.00 0.00 1.00 1.00 3.00 2.00 0.00 1.00 2.00 0.00 5.00 0.00 2.00 1.00
hsa-miR-1469 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 1.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 4.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 1.00
hsa-miR-4490 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
